time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2]
2008-09-06,-3.625,38.625,0.38679066,6.133845,8.521824e-07,0.13472188,27.90956378534988
2008-09-07,-3.625,38.625,7.375403,0.32367074,0.0,0.16409402,27.045978716126193
2008-09-08,-3.625,38.625,10.626082,2.2211094,2.3691526e-07,0.17020951,26.182393646902508
2008-09-09,-3.625,38.625,8.523438,3.4532738,3.9275068e-07,0.17743075,25.318808577678823
2008-09-10,-3.625,38.625,8.25434,2.348579,3.5074171e-07,0.18487988,24.455223508455134
2008-09-11,-3.625,38.625,8.808937,0.12920034,0.0,0.18848622,23.59163843923145
2008-09-12,-3.625,38.625,8.734145,0.0,0.0,0.17804977,22.72805337000776
2008-09-13,-3.625,38.625,8.572797,0.0,0.0,0.17324512,21.864468300784075
2008-09-14,-3.625,38.625,8.63288,0.0,0.0,0.16736564,22.762812398098134
2008-09-15,-3.625,38.625,8.37001,0.0,0.0,0.16116717,23.66115649541219
2008-09-16,-3.625,38.625,8.226077,0.0,0.0,0.15849748,24.55950059272625
2008-09-17,-3.625,38.625,7.730445,0.13637193,0.0,0.15836781,25.457844690040304
2008-09-18,-3.625,38.625,7.802812,0.06818245,0.0,0.15128484,26.356188787354363
2008-09-19,-3.625,38.625,8.697157,0.0023998995,0.0,0.15002069,27.25453288466842
2008-09-20,-3.625,38.625,7.314827,0.056334667,0.0,0.15019083,28.152876981982477
2008-09-21,-3.625,38.625,6.936184,4.654973,5.7209115e-07,0.16454485,29.051221079296536
2008-09-22,-3.625,38.625,6.9952435,3.3912199,1.6303487e-07,0.18546855,28.497957176080455
2008-09-23,-3.625,38.625,5.903659,6.526541,7.0354633e-07,0.20328048,27.944693272864377
2008-09-24,-3.625,38.625,4.9653597,1.8969777,0.0,0.22031912,27.391429369648296
2008-09-25,-3.625,38.625,5.326753,10.233064,1.0770534e-06,0.2371227,26.838165466432216
2008-09-26,-3.625,38.625,6.397713,0.5759285,0.0,0.24871156,26.28490156321614
2008-09-27,-3.625,38.625,5.9194984,2.959482,2.2942406e-07,0.24753997,25.731637660000057
2008-09-28,-3.625,38.625,2.0697684,5.5981026,9.1460197e-07,0.2606644,25.17837375678398
2008-09-29,-3.625,38.625,6.295468,0.0041577956,0.0,0.26164684,24.6251098535679
2008-09-30,-3.625,38.625,7.193806,0.0,0.0,0.2486887,24.916392716544646
2008-10-01,-3.625,38.625,6.522991,-1.6653345e-13,3.469447e-18,0.24010706,25.20767557952139
2008-10-02,-3.625,38.625,6.8936963,0.0062836665,3.469447e-18,0.2341348,25.498958442498136
2008-10-03,-3.625,38.625,6.6425757,-1.6653345e-13,3.469447e-18,0.22682004,25.79024130547488
2008-10-04,-3.625,38.625,6.0914598,-1.6653345e-13,3.469447e-18,0.21857233,26.081524168451626
2008-10-05,-3.625,38.625,6.525103,-1.6653345e-13,3.469447e-18,0.2121505,26.372807031428373
2008-10-06,-3.625,38.625,6.5321827,-1.6653345e-13,3.469447e-18,0.20429191,26.664089894405116
