time,longitude,latitude,snr_[MJ/m2],tp_[mm]
2011-03-22,8.125,48.125,7.2737613,0.0
2011-03-23,8.125,48.125,7.828205,0.0
2011-03-24,8.125,48.125,8.067181,0.0
2011-03-25,8.125,48.125,8.285862,0.0
2011-03-26,8.125,48.125,7.4031754,1.6579041
2011-03-27,8.125,48.125,3.6208131,1.984522
2011-03-28,8.125,48.125,7.688844,0.53776914
2011-03-29,8.125,48.125,8.375118,0.021007214
2011-03-30,8.125,48.125,7.142796,0.54855794
2011-03-31,8.125,48.125,2.2273238,4.5832987
2011-04-01,8.125,48.125,7.124488,1.7997636
2011-04-02,8.125,48.125,10.067428,-8.326673e-14
2011-04-03,8.125,48.125,9.57591,0.5074322
2011-04-04,8.125,48.125,8.796422,11.439092
2011-04-05,8.125,48.125,10.202388,0.0014161528
2011-04-06,8.125,48.125,10.438366,-8.326673e-14
2011-04-07,8.125,48.125,10.938977,-8.326673e-14
2011-04-08,8.125,48.125,9.338946,-8.326673e-14
2011-04-09,8.125,48.125,10.810516,-8.326673e-14
2011-04-10,8.125,48.125,10.767872,-8.326673e-14
2011-04-11,8.125,48.125,11.081484,0.0020230755
2011-04-12,8.125,48.125,7.1138387,4.230654
2011-04-13,8.125,48.125,6.7297425,0.047546018
2011-04-14,8.125,48.125,10.035635,1.1389562
2011-04-15,8.125,48.125,8.427636,0.0073405816
2011-04-16,8.125,48.125,10.044294,-8.326673e-14
2011-04-17,8.125,48.125,11.234276,-8.326673e-14
2011-04-18,8.125,48.125,11.86722,-8.326673e-14
2011-04-19,8.125,48.125,11.59602,0.025895366
2011-04-20,8.125,48.125,11.919761,0.12783812
2011-04-21,8.125,48.125,11.653651,0.27306226
2011-04-22,8.125,48.125,12.256491,0.22926956
2011-04-23,8.125,48.125,12.794427,2.6421654
2011-04-24,8.125,48.125,10.49105,6.3636374
2011-04-25,8.125,48.125,13.089953,0.016589219
2011-04-26,8.125,48.125,9.828348,0.061595418
2011-04-27,8.125,48.125,9.978479,1.1842963
2011-04-28,8.125,48.125,10.378521,2.0438097
2011-04-29,8.125,48.125,8.016867,12.343925
2011-04-30,8.125,48.125,11.419063,12.616933
2011-05-01,8.125,48.125,10.127176,6.3017077
2011-05-02,8.125,48.125,11.190623,3.852197
2011-05-03,8.125,48.125,11.625965,1.3084135
2011-05-04,8.125,48.125,13.258883,0.0
2011-05-05,8.125,48.125,13.831308,0.0
2011-05-06,8.125,48.125,13.807265,0.014366754
2011-05-07,8.125,48.125,13.894524,0.035845894
2011-05-08,8.125,48.125,13.168166,0.0
2011-05-09,8.125,48.125,13.334883,0.0
2011-05-10,8.125,48.125,11.511834,0.0
2011-05-11,8.125,48.125,10.897456,1.1855788
2011-05-12,8.125,48.125,7.1140585,2.7314615
2011-05-13,8.125,48.125,13.983961,0.0
2011-05-14,8.125,48.125,9.365855,4.083046
2011-05-15,8.125,48.125,12.059884,2.335575
2011-05-16,8.125,48.125,8.383555,0.11362503
2011-05-17,8.125,48.125,10.40823,0.041894473
2011-05-18,8.125,48.125,14.645085,0.44489896
2011-05-19,8.125,48.125,13.98406,0.28894246
2011-05-20,8.125,48.125,13.389787,0.7791391
2011-05-21,8.125,48.125,13.84004,1.2368503
2011-05-22,8.125,48.125,12.219175,1.0056375
2011-05-23,8.125,48.125,14.749038,0.00151592
2011-05-24,8.125,48.125,14.54772,0.0
2011-05-25,8.125,48.125,15.291973,0.0
2011-05-26,8.125,48.125,12.270393,0.19767676
2011-05-27,8.125,48.125,8.055454,1.7027172
2011-05-28,8.125,48.125,10.777186,0.088279985
2011-05-29,8.125,48.125,15.736308,0.0
2011-05-30,8.125,48.125,14.831113,0.24139932
2011-05-31,8.125,48.125,7.9163213,17.759933
2011-06-01,8.125,48.125,2.1637712,12.888697
2011-06-02,8.125,48.125,10.305844,0.045624178
2011-06-03,8.125,48.125,10.989381,0.04803036
2011-06-04,8.125,48.125,11.528298,7.0953026
